Best after 1999 steps

   > Averages:
   > Pre: 0.24230979897344046 Fit: 0.05122997929966961 Act: 14.603525362298376 Tss: 1430.5852713178294 Num: 516 Size: 468
     - .##1#000#.1##0#0##.#0###00#-S : [Fi: 0,10] [Ex: 00009,0] [Pr: 0,59] [PE: 0,29] [AS: 007,9] [Ti: 01812] [Nu: 001] [Pa: 001]
     - .10000#00.0000#000.##00###0-W : [Fi: 0,10] [Ex: 00014,0] [Pr: 0,89] [PE: 0,18] [AS: 006,5] [Ti: 01804] [Nu: 001] [Pa: 001]
     - .00000000.#0001010.100#0##0-N : [Fi: 0,10] [Ex: 00004,0] [Pr: 0,03] [PE: 0,02] [AS: 025,8] [Ti: 01980] [Nu: 001] [Pa: 001]
     - .#0000000.0##01##0.#0#####0-W : [Fi: 0,10] [Ex: 00024,0] [Pr: 0,12] [PE: 0,13] [AS: 025,1] [Ti: 01980] [Nu: 002] [Pa: 001]
     - .000#0#00.1##01#00.#000##00-S : [Fi: 0,10] [Ex: 00015,0] [Pr: 0,06] [PE: 0,10] [AS: 005,3] [Ti: 01323] [Nu: 001] [Pa: 001]
     - .#0000000.10###000.10000010-E : [Fi: 0,09] [Ex: 00003,0] [Pr: 0,00] [PE: 0,00] [AS: 003,0] [Ti: 01035] [Nu: 001] [Pa: 001]
     - .##1#000#.1##0#0##.##0##00#-S : [Fi: 0,09] [Ex: 00011,0] [Pr: 0,58] [PE: 0,31] [AS: 007,3] [Ti: 01812] [Nu: 002] [Pa: 001]
     - .00#00010.1#000#00.0#####0#-S : [Fi: 0,09] [Ex: 00002,0] [Pr: 0,56] [PE: 0,22] [AS: 003,0] [Ti: 01691] [Nu: 001] [Pa: 001]
     - .##00#000.10001##0.001000##-W : [Fi: 0,09] [Ex: 00005,0] [Pr: 0,14] [PE: 0,09] [AS: 003,0] [Ti: 00854] [Nu: 001] [Pa: 001]
     - .00000000.001##000.0###0##0-N : [Fi: 0,09] [Ex: 00005,0] [Pr: 0,07] [PE: 0,07] [AS: 018,4] [Ti: 01676] [Nu: 001] [Pa: 001]
     - .#00#0#00.##1###00.##0####0-W : [Fi: 0,09] [Ex: 00006,0] [Pr: 0,21] [PE: 0,20] [AS: 017,0] [Ti: 01956] [Nu: 001] [Pa: 001]
     - .00000#0#.00000##0.00100010-W : [Fi: 0,09] [Ex: 00003,0] [Pr: 0,11] [PE: 0,07] [AS: 006,0] [Ti: 00870] [Nu: 001] [Pa: 001]
     - .0000#00#.11####10.#0##0##0-W : [Fi: 0,09] [Ex: 00006,0] [Pr: 0,11] [PE: 0,09] [AS: 019,5] [Ti: 01884] [Nu: 001] [Pa: 001]
     - .00000000.###010#0.0##000##-W : [Fi: 0,09] [Ex: 00002,0] [Pr: 0,00] [PE: 0,00] [AS: 019,5] [Ti: 01980] [Nu: 001] [Pa: 001]
     - .##0000#0.###0#00#.0##0000#-N : [Fi: 0,09] [Ex: 00024,0] [Pr: 0,09] [PE: 0,10] [AS: 027,9] [Ti: 01938] [Nu: 001] [Pa: 001]
     - .000#0##0.000#1##0.##000#11-S : [Fi: 0,09] [Ex: 00005,0] [Pr: 0,16] [PE: 0,17] [AS: 004,8] [Ti: 00447] [Nu: 001] [Pa: 001]
     - .##1#000#.10#0#0##.#00##00#-S : [Fi: 0,09] [Ex: 00003,0] [Pr: 0,75] [PE: 0,21] [AS: 009,3] [Ti: 01742] [Nu: 001] [Pa: 001]
     - .00#00000.#0#0##1#.###0###0-N : [Fi: 0,09] [Ex: 00003,0] [Pr: 0,00] [PE: 0,00] [AS: 024,3] [Ti: 01994] [Nu: 001] [Pa: 001]
     - .0####01#.#00#0#00.##0###00-N : [Fi: 0,08] [Ex: 00003,0] [Pr: 0,75] [PE: 0,17] [AS: 007,0] [Ti: 01965] [Nu: 001] [Pa: 001]
     - .000000#0.0##0#000.#10000##-N : [Fi: 0,08] [Ex: 00009,0] [Pr: 0,11] [PE: 0,09] [AS: 032,0] [Ti: 01844] [Nu: 001] [Pa: 001]
     - .##0####0.#1000010.0000#00#-N : [Fi: 0,08] [Ex: 00005,0] [Pr: 0,00] [PE: 0,00] [AS: 011,2] [Ti: 01796] [Nu: 001] [Pa: 001]
     - .0000000#.#00###00.#0#0#011-W : [Fi: 0,08] [Ex: 00021,0] [Pr: 0,11] [PE: 0,17] [AS: 013,8] [Ti: 01940] [Nu: 002] [Pa: 001]
     - .00000000.1##0#0##.#00#000#-S : [Fi: 0,08] [Ex: 00007,0] [Pr: 0,00] [PE: 0,00] [AS: 011,4] [Ti: 01366] [Nu: 001] [Pa: 001]
     - .###0#000.#00###1#.#0##1#00-S : [Fi: 0,08] [Ex: 00008,0] [Pr: 0,00] [PE: 0,00] [AS: 016,4] [Ti: 01658] [Nu: 001] [Pa: 001]
     - .000#0000.#110000#.0##00#11-E : [Fi: 0,08] [Ex: 00002,0] [Pr: 0,00] [PE: 0,00] [AS: 009,5] [Ti: 01473] [Nu: 001] [Pa: 001]
     - .##0#00##.#1#011##.0#1000#0-S : [Fi: 0,08] [Ex: 00002,0] [Pr: 0,36] [PE: 0,00] [AS: 002,0] [Ti: 01985] [Nu: 001] [Pa: 001]
     - .000#000#.11##000#.1###00#0-N : [Fi: 0,08] [Ex: 00024,0] [Pr: 0,12] [PE: 0,13] [AS: 016,0] [Ti: 01844] [Nu: 001] [Pa: 001]
     - .000000##.00#000#0.0##00010-W : [Fi: 0,08] [Ex: 00007,0] [Pr: 0,04] [PE: 0,04] [AS: 021,3] [Ti: 01945] [Nu: 001] [Pa: 001]
     - .###0###0.##001#10.0##0#00#-S : [Fi: 0,08] [Ex: 00008,0] [Pr: 0,03] [PE: 0,05] [AS: 013,2] [Ti: 01837] [Nu: 001] [Pa: 001]
     - .#0100#00.0000#100.#1#00000-N : [Fi: 0,08] [Ex: 00002,0] [Pr: 0,62] [PE: 0,19] [AS: 002,5] [Ti: 01121] [Nu: 001] [Pa: 001]
     - .00000000.1##0#01#.000##0#0-W : [Fi: 0,08] [Ex: 00014,0] [Pr: 0,10] [PE: 0,11] [AS: 019,1] [Ti: 01971] [Nu: 002] [Pa: 001]
     - .001100##.##00##00.###0#0#0-N : [Fi: 0,08] [Ex: 00003,0] [Pr: 0,59] [PE: 0,21] [AS: 004,0] [Ti: 00652] [Nu: 001] [Pa: 001]
     - .00000000.00#000#0.0#000010-W : [Fi: 0,08] [Ex: 00002,0] [Pr: 0,01] [PE: 0,00] [AS: 021,5] [Ti: 01945] [Nu: 001] [Pa: 001]
     - .#0000000.#####000.000000##-E : [Fi: 0,08] [Ex: 00021,0] [Pr: 0,25] [PE: 0,24] [AS: 013,4] [Ti: 01934] [Nu: 001] [Pa: 001]
     - .00000#00.0010000#.00##1#00-W : [Fi: 0,08] [Ex: 00003,0] [Pr: 0,15] [PE: 0,10] [AS: 021,3] [Ti: 01945] [Nu: 001] [Pa: 001]
     - .00#0000#.########.0#00#00#-S : [Fi: 0,07] [Ex: 00013,0] [Pr: 0,54] [PE: 0,31] [AS: 009,1] [Ti: 01850] [Nu: 001] [Pa: 001]
     - .#010#0##.10###01#.000#00#0-N : [Fi: 0,07] [Ex: 00004,0] [Pr: 0,59] [PE: 0,18] [AS: 009,0] [Ti: 01046] [Nu: 001] [Pa: 001]
     - .0#1000#0.#000##1#.####0###-N : [Fi: 0,07] [Ex: 00007,0] [Pr: 0,51] [PE: 0,27] [AS: 009,3] [Ti: 01874] [Nu: 001] [Pa: 001]
